Nome,Coluna,Variavel,Apath 4.00,Tipo,CompWhere,Tamanho banco,Apath tabela,Apath tabela pai
fq72313,ngq720913,pesoB,nfeProc/NFe/infNFe/det/prod/veicProd/pesoL,String,,10,,
fq72313,ngq720914,nSerie,nfeProc/NFe/infNFe/det/prod/veicProd/pesoB,String,,10,,
fq72313,ngq720915,tpComb,nfeProc/NFe/infNFe/det/prod/veicProd/nSerie,String,,20,,
fq72313,ngq720916,nMotor,nfeProc/NFe/infNFe/det/prod/veicProd/tpComb,String,,20,,
fq72313,ngq720917,nMotor,nfeProc/NFe/infNFe/det/prod/veicProd/nMotor,String,,30,,
fq72313,ngq720918,cmkg,nfeProc/NFe/infNFe/det/prod/veicProd/CMKG,String,,10,,
fq72313,ngq720919,cmt,nfeProc/NFe/infNFe/det/prod/veicProd/CMT,String,,12,,
fq72313,ngq720920,dist,nfeProc/NFe/infNFe/det/prod/veicProd/dist,String,,5,,
fq72313,ngq720921,renavam,nfeProc/NFe/infNFe/det/prod/veicProd/RENAVAM,Integer,,9,,
fq72313,ngq720922,anoMod,nfeProc/NFe/infNFe/det/prod/veicProd/anoMod,Integer,,4,,
fq72313,ngq720923,anoFab,nfeProc/NFe/infNFe/det/prod/veicProd/anoFab,Integer,,4,,
fq72313,ngq720924,tpPint,nfeProc/NFe/infNFe/det/prod/veicProd/tpPint,String,,1,,
fq72313,ngq720925,tpVeic,nfeProc/NFe/infNFe/det/prod/veicProd/tpVeic,Integer,,2,,
fq72313,ngq720926,espVeic,nfeProc/NFe/infNFe/det/prod/veicProd/espVeic,Integer,,1,,
fq72313,ngq720927,vin,nfeProc/NFe/infNFe/det/prod/veicProd/VIN,String,,1,,
fq72313,ngq720928,condVeic,nfeProc/NFe/infNFe/det/prod/veicProd/condVeic,Integer,,1,,
fq72313,ngq720929,cMod,nfeProc/NFe/infNFe/det/prod/veicProd/cMod,Integer,,6,,
fq72313,ngq720930,cCorDenatram,nfeProc/NFe/infNFe/det/prod/veicProd/cCorDENATRAN,String,,2,,
fq72313,ngq720931,lota,nfeProc/NFe/infNFe/det/prod/veicProd/lota,Integer,,3,,
fq72313,ngq720932,tpRest,nfeProc/NFe/infNFe/det/prod/veicProd/tpRest,Integer,,1,,
fq72314,nhq720652,id,${chaveDeAcesso},String,,50,nfeProc/NFe/infNFe/det/prod/med,nfeProc/NFe/infNFe/det
fq72314,nhq720653,nSequencia,${sequence},Integer,,3,,
fq72314,nhq720849,nItem,${parentSequence},Integer,,20,,
fq72314,nhq720935,nLote,-,Integer,,10,,
fq72314,nhq720879,qLote,-,Decimal,,12,,
fq72314,nhq720835,dFab,-,String,,30,,
fq72314,nhq720936,dVal,-,String,,20,,
fq72314,nhq720937,vPmc,nfeProc/NFe/infNFe/det/prod/med/vPMC,Decimal,,15,,
fq72314,nhq722404,cProdANVISA,nfeProc/NFe/infNFe/det/prod/med/cProdANVISA,String,,13,,
fq72314,nhq722440,xMotivoIsencao,nfeProc/NFe/infNFe/det/prod/med/xMotivoIsencao,String,,255,,
fq72315,njq720652,id,${chaveDeAcesso},String,,50,nfeProc/NFe/infNFe/det/prod/arma,nfeProc/NFe/infNFe/det
fq72315,njq720653,nItem,${parentSequence},Integer,,3,,
fq72315,njq720849,nSequencia,${sequence},Integer,,10,,
